35074743;Escola Anna Lamberga Zeglio Ver (EMEF);8475320;RUA OLIMPIA MONTANI;SANTA ETELVINA II B
35902248;Escola Anna Pontes Toledo Natali Profa;3820140;R PACO DO LUMIAR;VL SILVIA
35201972;Escola Anna Silveira Pedreira (EMEF);5822015;JOSE MANOEL CAMISA NOVA;PARQUE SANTO ANTONIO
35001491;Escola Anna Teixeira Prado Zacharias Profa;3370040;R PAULINA;CH MAFALDA
35037000;Escola Anne Frank;3719000;GUIRA ACANGATARA;JD S ONOFRE
35924374;Escola Annette Marlene Fernandes De Mello Irma;3828000;R ARLINDO BETTIO;VL GUARACIABA
35001764;Escola Annita Atalla Profa;3227020;R LOURENCO CAETANO DA SILVA;JD AVELINO
35002720;Escola Annita Guastini Eiras Profa;3720040;R ILHA DA FIGUEIRA;VL PAULISTANIA
35002525;Escola Antao Padre;3632020;R SANTO AFONSO;PENHA
35053788;Escola Antenor Nascentes (EMEF);4458050;RUA ANTONIO FERNANDES DE OLIVEIRA;JARDIM UBIRAJARA
35909002;Escola Antenor Santos De Oliveira Prof;3581200;R HELENA DOS SANTOS;JD FERNANDES
35000383;Escola Antoine De Saint Exupery;2751000;R ANTONIO RIBEIRO DE MORAES;VL CARBONE
35055585;Escola Antonia E Artur Begbie (EMEF);8151710;RUA ILHA DE MARUI;JARDIM CAMPOS
35902615;Escola Antonieta De Souza Alcantara;8381020;RUA PIRAMIDE DOS PIQUES;JARDIM DA LARANJEIRA
35046061;Escola Antonio Aggio;4912040;R HERCILIA GONCALVES DOS SANTOS;JARDIM DULCE
35004777;Escola Antonio Alcantara Machado;4130050;R AMERICO RIBEIRO;VL GUMERCINDO
35098632;Escola Antonio Alves Da Silva Sg (EMEF);5880290;RUA GARCIA DE ORTA;PARQUE INDEPENDENCIA
35092575;Escola Antonio Alves Verissimo (EMEFM);5186150;RUA MARTINO AROSIO 81;JARAGUA
35044398;Escola Antonio Bernardes De Oliveira Prof;4917040;RUA JEAN MAROT;JARDIM SAO JOAQUIM
35002240;Escola Antonio Candido Barone;3360000;R ANGA;VL FORMOSA
35000188;Escola Antonio Candido Correa Guimaraes Filho Prof;5110000;AV MUTINGA;VL PIAUI
35053892;Escola Antonio Carlos De Abreu Sodre Dr (EMEF);4446160;RUA JUARI;JARDIM SABARA
35055759;Escola Antonio Carlos De Andrada E Silva (EMEF);8040420;RUA BALTAZAR SANTANA;JARDIM PLANALTO
35037643;Escola Antonio Carlos Ferreira Nobre Prof;5125050;R AGOSTINHO DOS SANTOS;PRQ S DOMINGOS
35004789;Escola Antonio Castelar De Franceschi;4134050;R DOM PERO SARDINHA;VL GUMERCINDO
35062789;Escola Antonio Davila Prof (EMEF);8485310;IGARAPE AGUA AZUL;CONJUNTO HABITACIONAL SANTA ETELVINA II
35054173;Escola Antonio De Alcantara Machado (EMEF);4285040;RUA BELGRADO;MOINHO VELHO
